part,severity,damage_type,coverage_percent,cost
back_door,moderate,dent,6.88,5578
back_door,moderate,tire flat,14.09,5148
back_bumper,minor,dent,6.58,2662
hood,moderate,scratch,17.83,3724
front_light,minor,lamp broken,21.86,3538
back_glass,minor,tire flat,7.67,3707
front_door,minor,dent,3.32,4358
front_bumper,moderate,dent,13.87,5639
front_glass,moderate,dent,20.91,12711
front_door,minor,lamp broken,2.67,7343
front_bumper,moderate,dent,21.8,4960
front_light,moderate,tire flat,4.9,2122
front_bumper,severe,tire flat,16.55,6443
back_glass,moderate,lamp broken,4.92,14663
hood,moderate,scratch,21.23,4185
back_light,moderate,dent,10.63,2132
front_door,moderate,scratch,10.5,3401
front_light,minor,scratch,6.92,780
front_bumper,moderate,tire flat,22.55,3893
back_light,minor,scratch,3.18,545
back_door,moderate,scratch,20.01,2879
back_door,minor,glass shatter,24.91,10477
hood,moderate,dent,3.75,8926
front_bumper,minor,tire flat,8.04,2025
back_bumper,moderate,tire flat,7.32,3363
back_glass,severe,lamp broken,21.89,24782
hood,minor,lamp broken,9.97,7953
hood,moderate,dent,12.73,7433
front_door,minor,crack,6.78,5016
back_door,moderate,dent,20.58,7570
hood,minor,scratch,12.41,2263
front_bumper,moderate,lamp broken,11.16,7969
hood,moderate,tire flat,18.11,6486
front_door,moderate,glass shatter,11.84,16275
back_door,minor,crack,14.29,4856
back_bumper,moderate,dent,2.41,3689
back_bumper,minor,crack,6.71,3317
back_light,minor,lamp broken,23.45,2818
front_light,moderate,scratch,20.38,1239
back_door,minor,tire flat,11.17,2940
back_bumper,moderate,tire flat,16.51,3062
front_door,minor,dent,5.57,3941
front_glass,minor,scratch,7.0,3448
front_light,minor,lamp broken,16.65,3251
back_bumper,severe,dent,21.37,6669
front_light,minor,glass shatter,10.62,3913
front_glass,severe,dent,7.36,19980
front_light,minor,crack,23.98,2613
hood,moderate,tire flat,4.72,5901
back_bumper,moderate,lamp broken,2.46,7099
back_bumper,minor,lamp broken,23.07,5007
back_bumper,minor,lamp broken,5.46,4697
back_light,minor,glass shatter,22.37,3658
back_bumper,minor,lamp broken,16.78,4914
front_door,minor,crack,18.19,4796
front_glass,moderate,scratch,8.2,4871
back_door,minor,dent,24.96,4654
back_door,minor,lamp broken,7.36,7504
back_door,minor,scratch,4.79,1805
front_bumper,severe,lamp broken,20.37,14649
hood,severe,crack,3.49,17404
front_bumper,moderate,dent,18.82,4562
front_bumper,minor,lamp broken,9.23,5454
front_bumper,minor,lamp broken,22.73,6060
back_door,minor,tire flat,7.64,2497
back_glass,severe,tire flat,4.88,10455
front_glass,minor,lamp broken,2.81,13374
back_glass,minor,lamp broken,9.86,9480
front_glass,minor,scratch,9.75,3503
back_bumper,minor,crack,6.99,2799
hood,severe,glass shatter,18.99,39652
back_light,severe,scratch,20.46,2018
back_bumper,moderate,scratch,8.97,2180
back_light,minor,crack,17.83,1787
back_bumper,minor,glass shatter,20.6,6973
front_bumper,minor,scratch,16.84,1300
front_bumper,severe,dent,7.7,8018
front_glass,severe,tire flat,13.87,16697
back_door,minor,crack,24.1,4612
back_door,minor,lamp broken,18.49,6640
hood,minor,dent,14.84,4715
front_glass,minor,dent,20.36,7754
back_light,minor,crack,23.77,2134
front_door,moderate,tire flat,18.27,5187
front_bumper,minor,tire flat,10.66,2142
back_glass,minor,scratch,23.57,2615
back_glass,moderate,lamp broken,10.75,17148
front_bumper,minor,crack,19.86,3852
front_door,minor,glass shatter,17.22,10841
back_glass,minor,tire flat,13.37,4314
front_door,moderate,dent,19.03,7464
back_light,minor,scratch,2.11,712
back_door,minor,glass shatter,16.11,9094
front_glass,minor,glass shatter,4.54,18397
back_door,minor,glass shatter,20.3,10757
front_light,moderate,dent,23.02,2759
back_glass,moderate,glass shatter,24.71,24621
front_light,moderate,lamp broken,22.41,5380
hood,moderate,glass shatter,18.85,21871
front_bumper,moderate,scratch,7.66,2311
front_light,minor,tire flat,11.56,1458
back_light,minor,crack,22.43,1659
back_glass,minor,scratch,4.67,2087
front_glass,minor,glass shatter,12.18,15788
front_glass,severe,glass shatter,15.02,51685
front_glass,minor,glass shatter,9.44,19180
front_glass,moderate,lamp broken,14.11,21807
back_light,minor,glass shatter,11.46,3241
front_door,moderate,tire flat,10.7,4798
front_light,severe,scratch,13.82,2364
back_bumper,moderate,dent,4.26,4212
back_bumper,minor,crack,6.08,2993
front_glass,moderate,crack,20.97,13937
back_door,minor,glass shatter,13.95,11322
front_door,moderate,scratch,19.75,3308
back_bumper,minor,scratch,1.49,1007
back_glass,moderate,glass shatter,14.54,20992
front_bumper,minor,crack,15.57,3928
back_door,severe,scratch,3.59,3759
front_bumper,moderate,lamp broken,24.0,8951
back_light,moderate,dent,20.93,2368
front_bumper,moderate,tire flat,3.91,4193
back_bumper,minor,crack,16.88,2900
front_door,moderate,dent,20.74,6339
front_door,moderate,tire flat,12.03,4809
back_glass,minor,tire flat,16.61,4359
hood,minor,glass shatter,20.82,13698
front_door,moderate,scratch,3.08,3253
back_light,moderate,glass shatter,17.04,6120
front_light,minor,crack,6.09,2283
front_door,moderate,crack,17.83,8075
back_bumper,severe,lamp broken,3.05,12818
front_light,moderate,lamp broken,17.57,5606
front_light,moderate,glass shatter,3.23,6636
back_light,moderate,crack,9.86,3018
front_door,severe,glass shatter,14.21,27191
front_light,minor,crack,6.53,2241
front_door,moderate,dent,23.82,7664
back_light,moderate,scratch,7.64,1097
hood,minor,lamp broken,3.41,7786
back_light,minor,crack,1.34,1727
front_bumper,severe,dent,14.28,8402
back_glass,moderate,tire flat,12.78,7653
front_bumper,minor,glass shatter,9.18,8441
front_bumper,minor,glass shatter,2.57,7181
back_bumper,minor,scratch,14.51,1124
back_light,moderate,dent,10.99,2513
back_light,minor,lamp broken,22.8,2591
front_glass,moderate,crack,2.45,15606
back_door,moderate,scratch,7.35,2437
back_light,moderate,scratch,4.76,1026
front_light,minor,crack,7.91,1985
front_light,moderate,dent,23.17,3363
back_light,minor,glass shatter,6.4,3292
front_bumper,minor,scratch,4.98,1195
front_bumper,minor,glass shatter,17.53,8179
front_bumper,minor,lamp broken,11.51,5377
front_glass,minor,tire flat,7.01,4733
back_bumper,moderate,tire flat,14.83,3752
back_glass,minor,glass shatter,11.61,12660
front_glass,moderate,tire flat,24.26,9616
front_glass,minor,crack,3.51,7480
front_glass,minor,tire flat,16.9,5466
