part,severity,damage_type,coverage_percent,cost
front_bumper,moderate,glass shatter,15.23,11417
hood,minor,glass shatter,14.99,14190
front_glass,minor,dent,11.86,6916
front_bumper,moderate,glass shatter,24.2,12475
back_bumper,moderate,dent,8.02,4361
front_light,severe,glass shatter,19.34,12397
hood,minor,dent,14.89,5629
back_bumper,moderate,tire flat,16.65,3276
front_light,severe,glass shatter,16.06,12497
front_door,moderate,tire flat,2.04,4686
front_light,minor,glass shatter,10.0,4702
back_bumper,minor,lamp broken,3.35,4551
front_light,moderate,dent,17.46,2950
hood,moderate,dent,9.23,9134
back_bumper,minor,glass shatter,2.26,6614
back_bumper,minor,scratch,17.88,1155
front_glass,moderate,lamp broken,3.55,21622
back_bumper,minor,crack,12.76,3261
front_bumper,minor,dent,24.49,3412
back_light,minor,tire flat,4.61,975
back_glass,moderate,scratch,12.21,4016
front_bumper,minor,scratch,7.14,1413
hood,minor,tire flat,3.36,3808
front_door,moderate,crack,7.13,9043
front_door,minor,scratch,5.46,1651
front_bumper,minor,lamp broken,5.91,5177
hood,moderate,glass shatter,14.99,21103
back_light,minor,crack,10.81,1767
front_door,minor,scratch,12.45,1869
front_door,minor,crack,1.32,5008
back_glass,minor,tire flat,6.34,4438
front_glass,moderate,crack,18.0,13501
back_light,severe,crack,2.33,4483
back_bumper,moderate,glass shatter,1.87,11921
front_bumper,minor,lamp broken,13.25,5346
back_glass,moderate,tire flat,21.17,6795
back_glass,minor,lamp broken,6.67,9584
hood,moderate,lamp broken,2.17,13209
back_glass,minor,dent,22.03,5843
front_light,moderate,lamp broken,23.27,5419
back_door,moderate,crack,15.84,8547
front_light,minor,lamp broken,1.97,3019
back_door,minor,tire flat,6.72,2579
front_bumper,moderate,glass shatter,22.9,12762
front_bumper,minor,tire flat,18.08,2318
back_door,minor,lamp broken,20.77,7863
back_glass,minor,glass shatter,6.56,14691
front_door,minor,scratch,7.43,1971
back_light,moderate,glass shatter,11.43,6422
hood,minor,lamp broken,16.09,8842
back_bumper,minor,dent,19.02,2891
back_door,severe,lamp broken,6.76,18880
back_glass,minor,crack,15.88,5788
front_bumper,moderate,glass shatter,22.93,12621
back_bumper,severe,crack,20.39,8487
back_glass,minor,glass shatter,2.69,14325
front_door,minor,scratch,13.92,2002
front_light,moderate,lamp broken,15.71,5398
front_bumper,minor,scratch,24.39,1365
back_bumper,minor,tire flat,12.46,2260
front_light,moderate,tire flat,8.37,2151
back_glass,minor,lamp broken,16.89,9207
hood,moderate,scratch,2.53,3850
hood,moderate,glass shatter,20.44,24391
front_door,severe,lamp broken,13.12,21007
front_door,minor,dent,10.66,3721
back_light,moderate,dent,8.66,2282
back_glass,severe,crack,9.25,17343
front_door,moderate,scratch,11.38,2935
front_door,minor,scratch,1.13,1723
front_bumper,minor,crack,12.35,3892
front_glass,minor,lamp broken,4.17,10862
front_door,minor,scratch,16.01,1709
back_bumper,moderate,tire flat,22.91,3841
front_glass,severe,glass shatter,6.03,45770
back_light,moderate,crack,21.6,3006
hood,moderate,tire flat,14.8,6964
back_glass,moderate,scratch,10.47,3916
front_glass,minor,scratch,11.67,3009
hood,moderate,tire flat,23.62,6038
front_door,minor,scratch,6.93,1696
hood,minor,crack,18.37,6574
back_bumper,moderate,crack,16.89,5885
front_glass,minor,dent,2.62,7208
front_bumper,minor,dent,20.78,2694
hood,minor,tire flat,21.09,4187
back_glass,minor,scratch,17.47,2351
back_light,minor,scratch,20.11,660
front_glass,moderate,scratch,3.26,5147
hood,minor,glass shatter,14.92,13709
hood,minor,glass shatter,12.77,13776
hood,moderate,dent,2.44,8825
back_bumper,moderate,lamp broken,23.69,8615
front_glass,minor,tire flat,19.53,5416
back_light,minor,crack,7.21,1850
front_door,moderate,crack,1.81,8261
front_glass,minor,lamp broken,24.18,12488
back_glass,minor,tire flat,15.65,4015
hood,minor,glass shatter,10.93,11392
front_light,minor,lamp broken,17.37,3328
front_light,moderate,tire flat,5.32,2221
hood,minor,lamp broken,18.45,8288
hood,severe,dent,14.18,11841
front_light,moderate,lamp broken,21.42,4849
front_light,minor,dent,20.45,1791
front_door,severe,lamp broken,20.7,21143
back_door,moderate,scratch,1.98,2715
back_light,moderate,lamp broken,19.16,4758
hood,minor,dent,15.18,4617
back_door,minor,tire flat,15.78,2752
back_bumper,severe,scratch,9.35,2724
back_light,moderate,glass shatter,14.0,6574
back_door,minor,dent,2.23,3736
